video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=d7KSTZttWXM&pp=ygUIYmF5IGFyZWE%3D,/@introvertedmadness,introvertedmadness,Surviving the Bay Area,535K,1 year,you're laughing. a man just paid $3000 for a studio in mountain view and you're laughing instagram: @introverted.madness ...,2024-01-28 01:17:42.783729
/watch?v=mLhjFR7pqzg&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,Detroit Lions fans start arriving to the Bay Area ahead of NFC Championship game,36K,17 hours,"By plane, train or car, Detroit fans are descending on the Bay Area ahead of Sunday's NFC Championship game. Robert Handa ...",2024-01-28 01:17:50.754764
/watch?v=8zE3Vb9kDkI&pp=ygUIYmF5IGFyZWE%3D,/channel/UCTeF-R1aFpUtZiH_gqwRLvw,SLAPSTAR!,"Back To The Bay ft Yo Gotti, YG, Drake, G Eazy, E-40, Tyga, P-Lo, YBN Nahmir [OFFICIAL MUSIC VIDEO]",6.6M,4 years,"Instrumental Produced by SLAPSTAR! Back to the Bay feat. Yo Gotti, YG, Drake, G Eazy, E-40, Tyga, YBN Nahmir, P-Lo [prod.",2024-01-28 01:17:50.757101
/watch?v=-n_A72kTYOw&pp=ygUIYmF5IGFyZWE%3D,/channel/UC2rdCWnU8fmFxdgeYXkbbIw,Berner415,Goldtoes Presents Bay Area Flavors - Too Short Ft Jenny69 x J-Diggs & Berner (Official Music Video),150K,3 weeks,"GOLDTOES Presents Bay Area Flavors Too Short Ft Jenny69 , J-Diggs & Berner Instagram - @goldtoes GT DIGITAL ...",2024-01-28 01:17:50.759301
/watch?v=rfJOgbG_W-k&pp=ygUIYmF5IGFyZWE%3D,/@abc7news,ABC7 News Bay Area,Video shows 2-year-old wandering Bay Area street after carjacking suspect leaves him - EXCLUSIVE,43K,2 days,ABC7 News obtained exclusive video showing the Oakland carjacking suspect pulling the child out of the car and abandoning ...,2024-01-28 01:17:50.761412
/watch?v=KWrLj0f4Dgc&pp=ygUIYmF5IGFyZWE%3D,/@VanDeGraph,VanDeGraph,"The Difference between San Francisco, Silicon Valley, and the Bay Area Explained",519K,7 years,What is the difference between Silicon Valley and the San Francisco Bay Area? Is San Francisco a city or a county? Where in the ...,2024-01-28 01:17:50.766925
/watch?v=oxh-iAEGUY8&pp=ygUIYmF5IGFyZWE%3D,/@Buggs,Bay Area Buggs,The Wrong Place at The Right Time in OCRP!,280K,4 days,"Join @CivRyan, @jfavignano and myself in OCRP as I get help from a random civilian during the pursuit getaway challenge!",2024-01-28 01:17:50.769714
/watch?v=HMPIcYRb30o&pp=ygUIYmF5IGFyZWE%3D,/@BeatTheBush,BeatTheBush,Why the Bay Area Sucks so Bad,60K,1 year,"Since I have been living here for almost 27 years in total, I have seen dramatic changes in quality of life. Most of this happened the ...",2024-01-28 01:17:50.772351
/watch?v=HKIECMOg7a0&pp=ygUIYmF5IGFyZWE%3D,/@Buggs,Bay Area Buggs,Shopping Cart Chaos in OCRP!,322K,2 weeks,Join @CivRyan & myself in OCRP as we use shopping carts as projectiles against the police! ▻Merch▻ https://buggsmerch.com ...,2024-01-28 01:17:50.774734
/watch?v=4hapJ9RAcXE&pp=ygUIYmF5IGFyZWE%3D,/@NBCBayArea,NBC Bay Area,Bay Area tech layoffs continue despite overall economy getting AI-related boost,62K,2 days,"It's been a brutal January for many tech workers in the Bay Area, even as our overall economy gets a big AI-related boost.",2024-01-28 01:17:50.777385
