video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=mIG-PdJWEvs&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@CityGeek,City Geek,"Richmond Overview | An informative introduction to Richmond, Virginia",46K,1 year,"Richmond, Virginia is a fascinating city. As the capital of Virginia and the former capital of the Confederacy, the city has a lot of ...",2024-01-28 01:33:37.769517
/watch?v=CX3tMU5iIhE&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@OnViewCation,ViewCation,"Best Things to Do in Richmond, Virginia",32K,1 year,"In this video, you will learn about all the best things to do in Richmond, Virginia. There are many unique attractions and ...",2024-01-28 01:33:37.772328
/watch?v=sqSA-SY5Hro&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@radiowv,radiowv,Oliver Anthony - Rich Men North Of Richmond,114M,5 months,"When I first came across Oliver Anthony and his music, I was blown away to say the least. He had a whole collection of songs that ...",2024-01-28 01:33:37.775613
/watch?v=TtzpHKmzHmc&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@LaurenZRay,Lauren Z Ray,"5 Reasons People REGRET Moving to Richmond, Virginia",3.9K,1 month,- - - - - - - ☆My Film Gear: https://www.laurenzray.com/camera-gear ☆My Travel Gear: https://www.laurenzray.com/travel-gear ...,2024-01-28 01:33:37.777817
/watch?v=jTMGoK0MA4I&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@IslandHopperTV,Island Hopper TV,RICHMOND VIRGINIA TRAVEL GUIDE 4K,83K,2 years,Are you thinking about visiting Richmond Virginia and looking for some additional information on the city center of Richmond?,2024-01-28 01:33:37.780091
/watch?v=prEiFHrm1Ic&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@LaurenZRay,Lauren Z Ray,"Top 5 Reasons I moved to Richmond, Virginia",9.4K,3 months,- - - - - - - ☆My Film Gear: https://www.laurenzray.com/camera-gear ☆My Travel Gear: https://www.laurenzray.com/travel-gear ...,2024-01-28 01:33:47.502786
/watch?v=SRUThWKrT64&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@LivingInRichmondVirginia,Living In Richmond Virginia,Where To Live In Richmond VA 2023 | The 6 Best Areas Of Richmond VA | Living In Richmond Virginia,13K,7 months,If you are thinking about moving to/living in Richmond VA this is the video for you! We will show you the 6 BEST areas to live in ...,2024-01-28 01:33:47.514597
/watch?v=bEnYNVD55N0&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@TheDetourDuo,The Detour Duo,"Richmond, Virginia: The Best Things to Do in the City!",46K,2 years,"We drove 2 hours north to spend the day in Richmond, and see for ourselves just what great things this city had to offer. We tried ...",2024-01-28 01:33:47.517468
/watch?v=UBRmXimGZ3k&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@BILLIONDOLLARPLUG,BILLIONDOLLARPLUG,[Documentary] Inside Richmond The Documentary [Guns | Murder | Then The Truth (Part 1.),181K,2 years,Inside richmond va will open your mind to understanding the youth and what we need to do to help them escape the norm.,2024-01-28 01:33:47.530275
/watch?v=DH4ro3xuwfo&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@NickJohnson,Nick Johnson,"I Drove Through The Most Dangerous Parts of Richmond, Virginia. Here's What I Saw.",184K,1 year,"Richmond, Virginia has some really bad areas! For this episode of dashboard tours, I checked out one of the most dangerous and ...",2024-01-28 01:33:47.532433
/watch?v=1Mny6HGBXGE&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@TravelMoreAmerica,Travel More,14 BEST Things To Do In Richmond 🇺🇸 Virginia,1.8K,5 months,This video explains Things To Do In Richmond Virginia and What To Do In Richmond VA.,2024-01-28 01:33:47.535809
/watch?v=nzVziOPguOY&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@LivingInRichmondVirginiaRE,Living in Richmond Virginia,Richmond Virginia UNVEILED: PROS & CONS Of Living In Richmond Virginia | Richmond VA Realtor,3.9K,3 months,"Are you thinking about moving to Richmond Virginia? Let's explore the pros & cons of living in Richmond Virginia today! So, are ...",2024-01-28 01:33:47.538943
/watch?v=vL0CYArocUE&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@WorldAccordingToBriggs,World According To Briggs,"Top 10 Reasons NOT to move to Richmond, Virginia. (Taxes on a boxed lunch)",135K,3 years,"Top 10 Reasons NOT to move to Richmond, Virginia. (Taxes on a boxed lunch) If you enjoy these videos I would love to hear ...",2024-01-28 01:33:47.548624
/watch?v=LFor0JNZsb8&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@ProjectGaiaTravel,Project Gaia,"Richmond, Virginia - Exploring the Capital of the Confederacy",7.9K,10 months,"Richmond Virginia is best known as the capital of the old confederacy during the Civil War. Richmond is filled with historic sites, ...",2024-01-28 01:33:47.551690
/watch?v=mikKWl9XhAA&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@thetravelpug,Travel Pug,"Best Things To Do in Richmond, Virginia",1.8K,6 months,"From the award-winning restaurants to must-see historical attractions, this travel guide will give you all the insider tips and secrets ...",2024-01-28 01:33:47.579613
/watch?v=-fJsSa3IpuE&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@JoeandNicsRoadTrip,Joe & Nic's Road Trip,"Richmond, Virginia: Visiting America's Most Historic Church / Exploring Downtown & Capital Building",24K,1 year,"We began this adventure in Charleston, WV in a major snowstorm. We drove across the Appalachians in the ice and snow, finally ...",2024-01-28 01:33:47.583534
/watch?v=78sL_yUrnOk&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@appalshoparchive5091,Appalshop Archive,"Richmond, Virginia neighborhood 1970",24K,1 year,"Silent footage of African American communities in Richmond, VA, shot on Super 8mm film in 1970 by Appalshop filmmaker Ben ...",2024-01-28 01:33:47.585579
/watch?v=eYjMlEYf2ow&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@MovingtoRVA,Moving to Richmond VA,Moving to Richmond VA | Richmond City Tour,1.7K,6 months,"Moving to Richmond VA | Richmond City Tour Join me on this exciting journey as we explore the vibrant city of Richmond, Virginia ...",2024-01-28 01:33:47.587660
/watch?v=dpVm2hd-dWI&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@Bee_Ze,Bee'Ze Aquatics ,"Fish store tour Richmond,Va",5,2 hours,fish store toutlr richmond va #aquarium #FISH STORE TOUR# aquarium # planted aquarium ##aquascaping #river rock ...,2024-01-28 01:33:57.252566
/shorts/Vum4KHyw1xk,/@TravellingFoodie,Travelling Foodie,"Weekend Getaway in Richmond, VA - 9 Places to Eat, Play, Stay! | Travelling Foodie",18K,1 year,SAVE this @Visitrichmond travel guide for a weekend getaway itinerary! Virginia's Capital City has an amazing combination of ...,2024-01-28 01:33:57.255243
/watch?v=glF3zfqbCT8&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@Homeworthy,Homeworthy,"HOUSE TOUR | Step Inside a Cozy Home in Richmond, Virginia",152K,1 month,"Textile designer Sarah Gibson Wiley takes us for a tour of her 1960's ranch in Richmond, Virginia. For more extraordinary home ...",2024-01-28 01:33:57.259069
/watch?v=WDIkLzR2Aso&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@MileageMikeTravels,Mileage Mike Travels,Why Richmond Virginia DOES NOT Have a FULL Beltway | The Richmond Beltway,79K,1 year,Many other cities have full beltway loops around them but Richmond does not. On this video we will explore why this is the case.,2024-01-28 01:33:57.260730
/shorts/9oQ47IAG_ys,/@lizbrownrealtordaily,"Liz Brown - Living In Richmond, Virginia ","Richmond, VA. A few reasons you might not like living here.",38K,1 year,Compared to a lot of places it's really nice here in Richmond. But there are a few things that you might not care for.,2024-01-28 01:33:57.264690
/watch?v=hMcS2OQQJUU&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@PohankaHondaofFredericksburg,Pohanka Honda of Fredericksburg,"Used 2022 Honda Accord Hybrid Fredericksburg VA Richmond, VA #FRA028988A",No,7 minutes,http://www.pohankahondaoffredericksburg.com/ Call or visit for a test drive of this vehicle today! Phone: 540-735-9100 Year: 2022 ...,2024-01-28 01:33:57.267223
/watch?v=f4KIFqwbWXc&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@PohankaHondaofFredericksburg,Pohanka Honda of Fredericksburg,"Used 2012 Kia Sportage Fredericksburg VA Richmond, VA #FRM753190A",No,24 minutes,http://www.pohankahondaoffredericksburg.com/ Call or visit for a test drive of this vehicle today! Phone: 540-735-9100 Year: 2012 ...,2024-01-28 01:33:57.269667
/watch?v=fBSShSC9iV8&pp=ygURUmljaG1vbmQgVmlyZ2luaWE%3D,/@PohankaHondaofFredericksburg,Pohanka Honda of Fredericksburg,"Used 2019 Toyota 4Runner Fredericksburg VA Richmond, VA #FRA034680A",No,10 hours,http://www.pohankahondaoffredericksburg.com/ Call or visit for a test drive of this vehicle today! Phone: 540-735-9100 Year: 2019 ...,2024-01-28 01:33:57.272358
